Sq.Ki.,Sq.Mi.,state
131443.1,50750.2,Alabama
1477267.5,570373.6,Alaska
294333.4,113642.2,Arizona
134875.1,52075.3,Arkansas
403970.7,155973.2,California
268657.7,103728.8,Colorado
12549.6,4845.4,Connecticut
5062.5,1954.6,Delaware
159.1,61.4,District of Columbia
139853,53997.3,Florida
150009.5,57918.7,Georgia
16636.5,6423.4,Hawaii
214325,82751,Idaho
143986.6,55593.3,Illinois
92903.6,35870.1,Indiana
144716,55874.9,Iowa
211921.6,81823,Kansas
102906.7,39732.3,Kentucky
112836.2,43566.1,Louisiana
79939.1,30864.5,Maine
25316.3,9774.6,Maryland
20300.3,7838,Massachusetts
147135.8,56809.2,Michigan
206206.7,79616.5,Minnesota
121506.4,46913.7,Mississippi
178446,68898.1,Missouri
376990.9,145556.3,Montana
199113.2,76877.7,Nebraska
284396.3,109805.5,Nevada
23230.7,8969.4,New Hampshire
19214.8,7418.8,New Jersey
314334,121364.5,New Mexico
122309.7,47223.8,New York
126179.8,48718.1,North Carolina
178695.2,68994.3,North Dakota
106067.2,40952.6,Ohio
177877.4,68678.5,Oklahoma
248646.4,96002.5,Oregon
116082.7,44819.6,Pennsylvania
2706.5,1045,Rhode Island
77987.8,30111.1,South Carolina
196570.6,75896,South Dakota
106758.5,41219.5,Tennessee
678358.1,261914.3,Texas
212815.5,82168.1,Utah
23955.8,9249.3,Vermont
102558.2,39597.8,Virginia
172445.4,66581.2,Washington
62384.2,24086.6,West Virginia
140672.4,54313.7,Wisconsin
251500.8,97104.6,Wyoming
